dname1,date,value,unit
白口,112,82.8,元/公斤
白口,111,74,元/公斤
白口,110,87.9,元/公斤
白口,109,94.1,元/公斤
白口,108,94.7,元/公斤
白口,107,98,元/公斤
白口,106,97.1,元/公斤
白口,105,91.9,元/公斤
白口,104,85.2,元/公斤
赤宗,112,180.3,元/公斤
赤宗,111,212.2,元/公斤
赤宗,110,195.2,元/公斤
赤宗,109,200.6,元/公斤
赤宗,108,202.3,元/公斤
赤宗,107,200.8,元/公斤
赤宗,106,209.7,元/公斤
赤宗,105,194.5,元/公斤
赤宗,104,175.8,元/公斤
黃花魚,112,183.5,元/公斤
黃花魚,111,173.6,元/公斤
黃花魚,110,166.3,元/公斤
黃花魚,109,165.9,元/公斤
黃花魚,108,173.1,元/公斤
黃花魚,107,186.6,元/公斤
黃花魚,106,195.4,元/公斤
黃花魚,105,172,元/公斤
黃花魚,104,162.4,元/公斤
盤仔,112,88.5,元/公斤
盤仔,111,100.2,元/公斤
盤仔,110,87.1,元/公斤
盤仔,109,100.6,元/公斤
盤仔,108,92.5,元/公斤
盤仔,107,107.1,元/公斤
盤仔,106,81.3,元/公斤
盤仔,105,93.9,元/公斤
盤仔,104,101.7,元/公斤
加臘,112,234.4,元/公斤
加臘,111,230.2,元/公斤
加臘,110,168.8,元/公斤
加臘,109,230,元/公斤
加臘,108,228.5,元/公斤
加臘,107,242.5,元/公斤
加臘,106,255.9,元/公斤
加臘,105,195.5,元/公斤
加臘,104,169.9,元/公斤
虱目魚,112,94.8,元/公斤
虱目魚,111,95.5,元/公斤
虱目魚,110,74.4,元/公斤
虱目魚,109,71.2,元/公斤
虱目魚,108,82.4,元/公斤
虱目魚,107,82.7,元/公斤
虱目魚,106,80.7,元/公斤
虱目魚,105,85.5,元/公斤
虱目魚,104,71.3,元/公斤
金目鱸,112,112.2,元/公斤
金目鱸,111,105.4,元/公斤
金目鱸,110,100.1,元/公斤
金目鱸,109,93.8,元/公斤
金目鱸,108,94,元/公斤
金目鱸,107,103,元/公斤
金目鱸,106,104.7,元/公斤
金目鱸,105,105.2,元/公斤
金目鱸,104,104.6,元/公斤
大頭鰱,112,68.6,元/公斤
大頭鰱,111,62.8,元/公斤
大頭鰱,110,76.6,元/公斤
大頭鰱,109,73,元/公斤
大頭鰱,108,59.5,元/公斤
大頭鰱,107,56.8,元/公斤
大頭鰱,106,50.7,元/公斤
大頭鰱,105,62.9,元/公斤
大頭鰱,104,69.3,元/公斤
草魚,112,125.2,元/公斤
草魚,111,103.2,元/公斤
草魚,110,101.2,元/公斤
草魚,109,93.7,元/公斤
草魚,108,81.5,元/公斤
草魚,107,71.6,元/公斤
草魚,106,69.1,元/公斤
草魚,105,83.5,元/公斤
草魚,104,80.8,元/公斤
吳郭魚,112,57.3,元/公斤
吳郭魚,111,53.5,元/公斤
吳郭魚,110,55.1,元/公斤
吳郭魚,109,47.9,元/公斤
吳郭魚,108,53.9,元/公斤
吳郭魚,107,56.3,元/公斤
吳郭魚,106,44.9,元/公斤
吳郭魚,105,49.9,元/公斤
吳郭魚,104,60.6,元/公斤
